1.2	 55091
1.3	 44000
1.4	 35909
1.8	 18454
1.9	 16272
2	 14527.3
2.2	 11890.9
2.4	 9981.82
2.6	 8536.36
2.8	 7436.36
3	 6563.64
3.2	 5854.54
3.4	 5281.82
3.6	 4800
3.8	 4390.91
4	 4054.54
4.2	 3754.54
4.6	 3272.73
5	 2890.91
5.5	 2527.27
6	 2245.45
6.5	 2018.18
7	 1834.54
8	 1552.73
9	 1356.36
10	 1210.91
11	 1083.64
12	 978.18
13	 894.54
14	 825.45
15	 767.27
16	 718.18
17	 674.54
18	 638.18
19	 603.64
20	 574.54
21	 547.27
22	 523.64
23	 501.82
24	 485.45
25	 466.82
26	 450
27	 434.09
28	 420
29	 406.36
30	 393.64
32	 370.91
34	 350.91
36	 333.18
38	 317.27
40	 303.18
42	 290
44	 278.64
46	 267.73
48	 258.18
53	 236.82
56	 225.91
60	 212.73
63	 204.09
66	 196.36
75	 176.54
80	 167.27
85	 159.09
90	 151.64
100	 139.1
105	 133.64
110	 128.7
115	 124
120	 119.64
125	 115.82
130	 112
135	 108.73
140	 105.45
145	 102.73
150	 99.82
155	 97.09
160	 94.54
165	 92.18
170	 90
175	 87.82
180	 85.82
185	 84
190	 82.54
195	 81.09
